Altium Designer Pick and Place Locations
D:\Dev\MSR\SenDev\Projects\JacdacModules\PADAUK\JacdacJoystick 44\.\JacdacJoystick 44-0.4\Panelized PnP\JacdacJoystick 44-0.4.txt

========================================================================================================================
File Design Information:

Date:       21/12/21
Time:       19:09
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Layer       Center-X(mm) Center-Y(mm) Rotation 
C1         BottomLayer 14.2833      17.8469      0        
C1         BottomLayer 14.2833      55.5469      0        
C1         BottomLayer 44.2833      17.8469      0        
C1         BottomLayer 44.2833      55.5469      0        
C1         BottomLayer 74.2833      17.8469      0        
C1         BottomLayer 74.2833      55.5469      0        
C1         BottomLayer 104.2833     17.8469      0        
C1         BottomLayer 104.2833     55.5469      0        
C1         BottomLayer 134.2833     17.8469      0        
C1         BottomLayer 134.2833     55.5469      0        
C1         BottomLayer 164.2833     17.8469      0        
C1         BottomLayer 164.2833     55.5469      0        
C2         BottomLayer 23.2740      17.0750      0        
C2         BottomLayer 23.2740      54.7750      0        
C2         BottomLayer 53.2740      17.0750      0        
C2         BottomLayer 53.2740      54.7750      0        
C2         BottomLayer 83.2740      17.0750      0        
C2         BottomLayer 83.2740      54.7750      0        
C2         BottomLayer 113.2740     17.0750      0        
C2         BottomLayer 113.2740     54.7750      0        
C2         BottomLayer 143.2740     17.0750      0        
C2         BottomLayer 143.2740     54.7750      0        
C2         BottomLayer 173.2740     17.0750      0        
C2         BottomLayer 173.2740     54.7750      0        
C3         BottomLayer 21.8549      21.5757      180      
C3         BottomLayer 21.8549      59.2757      180      
C3         BottomLayer 51.8549      21.5757      180      
C3         BottomLayer 51.8549      59.2757      180      
C3         BottomLayer 81.8549      21.5757      180      
C3         BottomLayer 81.8549      59.2757      180      
C3         BottomLayer 111.8549     21.5757      180      
C3         BottomLayer 111.8549     59.2757      180      
C3         BottomLayer 141.8549     21.5757      180      
C3         BottomLayer 141.8549     59.2757      180      
C3         BottomLayer 171.8549     21.5757      180      
C3         BottomLayer 171.8549     59.2757      180      
C4         BottomLayer 13.8490      22.8500      90       
C4         BottomLayer 13.8490      60.5500      90       
C4         BottomLayer 43.8490      22.8500      90       
C4         BottomLayer 43.8490      60.5500      90       
C4         BottomLayer 73.8490      22.8500      90       
C4         BottomLayer 73.8490      60.5500      90       
C4         BottomLayer 103.8490     22.8500      90       
C4         BottomLayer 103.8490     60.5500      90       
C4         BottomLayer 133.8490     22.8500      90       
C4         BottomLayer 133.8490     60.5500      90       
C4         BottomLayer 163.8490     22.8500      90       
C4         BottomLayer 163.8490     60.5500      90       
D1         BottomLayer 18.7690      15.6140      90       
D1         BottomLayer 18.7690      53.3140      90       
D1         BottomLayer 48.7690      15.6140      90       
D1         BottomLayer 48.7690      53.3140      90       
D1         BottomLayer 78.7690      15.6140      90       
D1         BottomLayer 78.7690      53.3140      90       
D1         BottomLayer 108.7690     15.6140      90       
D1         BottomLayer 108.7690     53.3140      90       
D1         BottomLayer 138.7690     15.6140      90       
D1         BottomLayer 138.7690     53.3140      90       
D1         BottomLayer 168.7690     15.6140      90       
D1         BottomLayer 168.7690     53.3140      90       
D2         BottomLayer 15.9490      30.5250      0        
